RBr,Broj lokacija,d_Ortools,T_Ortools,S_ortools_distance,Sim_total,d_SOM,T_som
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.1,1647,0.15,1647,0.1,3848,10.91
2,20,2158,0.11,2158,0.11,2158,0.14,3728,10.87
3,30,2444,0.12,2527,0.13,2527,0.14,3705,10.9
4,40,2552,0.14,2727,0.14,2727,0.16,3771,10.89
5,50,2735,0.16,2735,0.15,2735,0.18,3705,10.92
6,60,3326,0.2,3232,0.17,3232,0.16,3792,11.36
7,70,3520,0.24,3552,0.27,3552,0.25,3731,11.44
8,80,3787,0.29,4026,0.28,4026,0.27,3709,11.28
9,90,3827,0.29,3801,0.3,3801,0.33,3715,10.86
10,100,4065,0.36,4102,0.33,4102,0.36,3705,10.9
11,200,5481,1.14,5421,0.99,5421,1.02,3660,10.91
12,300,6801,3.14,6774,1.42,6774,1.41,3820,10.94
13,400,7622,3.82,7599,3.25,7599,3.24,3781,10.88
14,500,8630,7.25,8454,6.63,8454,6.69,3770,10.87
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1647,0.1,1647,0.15,1647,0.1,3703,10.75
2,20,2158,0.12,2158,0.11,2158,0.14,3722,10.81
3,30,2444,0.12,2527,0.13,2527,0.13,3761,10.86
4,40,2552,0.16,2727,0.14,2727,0.16,3724,10.82
5,50,2735,0.16,2735,0.15,2735,0.18,3719,10.87
6,60,3326,0.21,3232,0.17,3232,0.17,3770,10.75
7,70,3520,0.23,3552,0.26,3552,0.23,3757,10.94
8,80,3787,0.27,4026,0.27,4026,0.25,3793,10.86
9,90,3827,0.31,3801,0.3,3801,0.35,3705,10.85
10,100,4065,0.35,4102,0.33,4102,0.36,3742,10.85
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
